year,outage_date,outage_time,state(s) affected,state(s) affected_abbr,region,utility_region,listed cause,weather-related?,weather_type,weather_details (where available)
2000,12/16/00,11:36 PM,Alabama,AL,Southeast,,Torn/ado,yes,severe weather,
2001,1/17/01,1:45 AM,California ,CA,West,WSCC,Firm load interruption,not attributed to weather ,,
2001,1/20/01,8:15 AM,California ,CA,West,WSCC,Firm load interruption,not attributed to weather ,,
2001,3/6/01,9:17 AM,Massachusetts,MA,Northeast,ISO,Interruption of Firm Power,not attributed to weather ,,
2001,3/14/01,3:00 PM,Texas,TX,South,ERCOT,Interruption of Firm Power,not attributed to weather ,,
2001,3/19/01,11:50 AM,California,CA,West,WSCC,Interruption of Firm Power,not attributed to weather ,,
2001,3/20/01,9:17 AM,California,CA,West,WSCC,Interruption of Firm Power,not attributed to weather ,,
2001,3/20/01,11:50 AM,California,CA,West,WSCC,Interruption of Firm Power,not attributed to weather ,,
2001,5/7/01,4:45 PM,California,CA,West,WSCC,Interruption of Firm Power & Public Appeal,not attributed to weather ,,
2001,5/8/01,3:12 PM,California,CA,West,WSCC,Interruption of Power,not attributed to weather ,,
2001,6/8/01,7:00 PM,Texas,TX,South,ERCOT,Flooding,yes,tropical cyclones (including hurricanes),Hurricane Allison
2001,6/8/01,4:22 PM,Texas,TX,South,ERCOT,Firm load interruption,not attributed to weather ,,
2001,6/25/01,1:25 PM,New York,NY,Northeast,NPCC,Feeder Shutdowns,not attributed to weather ,,
2001,8/9/01,3:11 PM,Virginia,VA,Southeast,PJM,Voltage Reduction,not attributed to weather ,,
2002,1/29/02,Unknown,Missouri,MO,Ohio Valley,SPP,Ice Storm,yes,winter weather,
2002,1/30/02,6:00 AM,Oklahoma,OK,South,SPP,Ice Storm,yes,winter weather,
2002,1/30/02,4:00 PM,Missouri,MO,Ohio Valley,SPP,Ice Storm,yes,winter weather,
2002,2/27/02,10:48 AM,California,CA,West,WSCC,Interruption of Firm Load,not attributed to weather ,,
2002,3/9/02,12:00 AM,Michigan,MI,Upper Midwest,ECAR,Severe Weather,yes,severe weather,
2002,7/9/02,12:27 PM,California,CA,West,WSCC,Interruption of Firm Power,not attributed to weather ,,
2002,7/19/02,11:51 AM,California,CA,West,WSCC,Interruption of Firm Power (Unit Tripped),not attributed to weather ,,
2002,7/20/02,12:40 PM,New York,NY,Northeast,NPCC,Fire,not attributed to weather ,,
2002,8/2/02,12:43 PM,Illinois,IL,Ohio Valley,MAIN,Interruption of Firm Power,not attributed to weather ,,
2002,8/9/02,8:23 AM,Florida,FL,Southeast,SERC,Interruption of Firm Power,not attributed to weather ,,
2002,8/25/02,3:41 AM,California,CA,West,WSCC,Interruption of Firm Power,not attributed to weather ,,
2002,8/28/02,2:09 PM,Florida,FL,Southeast,SERC,Severe Weather,yes,severe weather,
2002,10/3/02,3:33 AM,Louisiana,LA,South,SPP,Hurricane Lily,yes,tropical cyclones (including hurricanes),Hurricane Lili
2002,11/6/02,10:00 PM,California,CA,West,WSCC,Winter Storm,yes,winter weather,
2002,11/17/02,3:48 PM,New York,NY,Northeast,NPPC,Cable Tripped,not attributed to weather ,,
2002,11/17/02,6:00 AM,Connecticut,CT,Northeast,NPCC,Ice Storm,yes,winter weather,
2002,12/3/02,6:30 PM,Arkansas,AR,South,SPP,Ice Storm,yes,winter weather,
2002,12/11/02,1:09 PM,Virginia,VA,Southeast,SERC,Winter Storm,yes,winter weather,
2002,12/14/02,11:00 AM,California,CA,West,WSCC,Winter Storm,yes,winter weather,
2002,12/19/02,6:00 AM,California,CA,West,WSCC,Winter Storm,yes,winter weather,
2002,12/25/02,10:00 AM,Pennsylvania,PA,Northeast,MAAC,Winter Storm,yes,winter weather,
2002,12/25/02,5:00 PM,Pennsylvania,PA,Northeast,MAAC,Winter Storm,yes,severe weather,
2003,2/27/03,11:32 AM,North Carolina,NC,Southeast,SERC,Winter Ice Storm,yes,winter weather,
2003,4/3/03,7:00 PM,Michigan,MI,Upper Midwest,ECAR,Ice Storm,yes,winter weather,
2003,4/4/03,3:11 AM,New York,NY,Northeast,NPCC,Severe Storm,yes,winter weather,
2003,4/15/03,11:00 AM,Texas,TX,South,ERCOT,Relaying Malfunction,not attributed to weather ,,
2003,5/2/03,5:00 PM,"North Carolina, South Carolina","NC, SC",Southeast,SERC,Severe Thunderstorms,yes,severe weather,
2003,5/2/03,8:00 PM,"Alabama, Georgia","AL, GA",Southeast,SERC,Severe Thunderstorms,yes,severe weather,
2003,5/15/03,2:52 AM,Texas,TX,South,ERCOT,Interruption of Firm Power,not attributed to weather ,,
2003,5/15/03,2:00 PM,Michigan,MI,Upper Midwest,MAIN,Flood,yes,severe weather,
2003,6/15/03,3:12 PM,Idaho,ID,Northwest,WECC,Public Appeal ,not attributed to weather ,,
2003,6/30/03,1:00 PM,Louisiana,LA,South,SPP,tropical Storm Bill,yes,tropical cyclones (including hurricanes),tropical Storm Bill
2003,7/1/03,3:15 PM,Arizona,AZ,SouthWest,WECC,Breaker Failure,not attributed to weather ,,
2003,7/2/03,1:54 PM,California,CA,West,WECC,Unit Tripped,not attributed to weather ,,
2003,7/4/03,6:00 AM,Wisconsin,WI,Upper Midwest,MAIN,Severe Thunderstorms,yes,severe weather,
2003,7/4/03,9:00 AM,Michigan,MI,Upper Midwest,ECAR,Severe Thunderstorms,yes,severe weather,
2003,7/4/03,11:41 PM,"Indiana, Ohio","IN, OH",Ohio Valley,ECAR,Severe Storms,yes,severe weather,
2003,7/5/03,3:00 AM,Illinois,IL,Ohio Valley,MAIN,Severe Storms,yes,severe weather,
2003,7/7/03,9:00 AM,Illinois,IL,Ohio Valley,MAIN,Severe Thunderstorms,yes,severe weather,
2003,7/8/03,4:00 AM,Ohio,OH,Ohio Valley,ECAR,Severe Thunderstorms,yes,severe weather,
2003,7/9/03,5:14 PM,Virginia,VA,Southeast,SERC,Severe Thunderstorms,yes,severe weather,
2003,7/15/03,8:24 AM,Texas,TX,South,ERCOT,Hurricane Claudette,yes,tropical cyclones (including hurricanes),Hurricane Claudette
2003,7/21/03,5:15 PM,Pennsylvania,PA,Northeast,MAAC,Severe Storms,yes,severe weather,
2003,7/28/03,6:55 PM,Arizona,AZ,SouthWest,WECC,Breaker Closed,not attributed to weather ,,
2003,8/14/03,4:09 PM,Michigan,MI,Upper Midwest,ECAR,Unknown *,not attributed to weather ,,
2003,8/26/03,4:00 PM,Maryland,MD,Northeast,MAAC,Severe Thunderstorms,yes,severe weather,
2003,8/26/03,4:22 PM,"DC, Maryland","DC, MD",Northeast,MAAC,Severe Thunderstorms,yes,severe weather,
2003,9/7/03,5:19 AM,Michigan,MI,Upper Midwest,MAIN,Transmission  Equipment,not attributed to weather ,,
2003,9/18/03,8:20 AM,"North Carolina, Virginia","NC, VA",Southeast,SERC,Hurricane Isabel,yes,tropical cyclones (including hurricanes),Hurricane Isabel
2003,9/18/03,11:45 AM,North Carolina,NC,Southeast,SERC,Hurricane Isabel,yes,tropical cyclones (including hurricanes),Hurricane Isabel
2003,9/18/03,12:00 PM,Maryland,MD,Northeast,MAAC,Hurricane Isabel,yes,tropical cyclones (including hurricanes),Hurricane Isabel
2003,9/18/03,3:32 PM,North Carolina,NC,Southeast,SERC,Hurricane Isabel,yes,tropical cyclones (including hurricanes),Hurricane Isabel
2003,9/18/03,4:20 PM,"DC, Maryland","DC, MD",Northeast,MAAC,Hurricane Isabel,yes,tropical cyclones (including hurricanes),Hurricane Isabel
2003,9/18/03,9:00 PM,Pennsylvania,"MD, PA, VA, WV","Northeast, Ohio Valley, Southeast",MAAC,Hurricane Isabel,yes,tropical cyclones (including hurricanes),Hurricane Isabel
2003,9/18/03,Unknown,"Maryland, Pennsylvania, Virginia, West Virginia","MD, PA, VA, WV","Northeast, Southeast",MAAC,Hurricane Isabel,yes,tropical cyclones (including hurricanes),Hurricane Isabel
2003,10/26/03,1:44 AM,California,CA,West,WECC,Wildfire,yes,Wildfire,
2003,11/5/03,3:16 PM,"Maryland, Virginia","MD, VA","Northeast, Southeast",MAAC,Torn/ado,yes,winter weather,
2003,11/12/03,5:00 PM,Michigan,MI,Upper Midwest,ECAR,Wind Storm,yes,winter weather,
2003,11/12/03,5:00 PM,Illinois,IL,Ohio Valley,MAIN,High Winds,yes,winter weather,
2003,11/12/03,6:00 PM,Michigan,MI,Upper Midwest,ECAR,Storm with High Winds,yes,winter weather,
2003,11/13/03,6:00 AM,Maryland,MD,Northeast,MAAC,High Winds,yes,winter weather,
2003,11/13/03,7:30 AM,New York,NY,Northeast,NPCC,Storm with High Winds,yes,winter weather,
2003,11/13/03,11:00 AM,"DC, Maryland","DC, MD",Northeast,MAAC,Major Wind Storm,yes,winter weather,
2003,11/13/03,1:40 PM,Virginia,VA,Southeast,SERC,Wind Storm,yes,winter weather,
2003,12/1/03,6:16 PM,Massachusetts,MA,Northeast,NPCC,Wild Fire – Transmission Equipment,yes,Wildfire,
2003,12/4/03,10:15 PM,"Michigan, Wisconsin","MI, WI",Upper Midwest,MAIN,Fault on 138 KV line,not attributed to weather ,,
2003,12/4/03,10:34 PM,"Michigan, Wisconsin","MI, WI",Upper Midwest,MAIN,Fault on 138 KV line,not attributed to weather ,,
2003,12/4/03,7:00 AM,Washington,WA,Northwest,WECC,High Winds,yes,severe weather,
2003,12/5/03,4:49 AM,Florida,FL,Southeast,FRCC,Transmission Equipment,not attributed to weather ,,
2003,12/5/03,7:00 AM,"Michigan, Wisconsin","MI, WI",Upper Midwest,MAIN,Transmission Equipment,not attributed to weather ,,
2003,12/20/03,3:51 PM,California,CA,West,WECC,Cable Failure,not attributed to weather ,,
2003,12/22/03,11:15 AM,California,CA,West,WECC,Earthquake,not attributed to weather ,,
2003,12/28/03,9:00 PM,California,CA,West,WECC,Winter Storm,yes,winter weather,
2004,1/1/04,7:30 AM,California,CA,West,WECC,Winter Storm,yes,winter weather,
2004,1/7/04,12:00 AM,Washington,WA,Northwest,WECC,Snow Storm,yes,winter weather,
2004,1/8/04,3:00 PM,New York,NY,Northeast,NPCC,Public Appeal to Reduce Load,not attributed to weather ,,
2004,1/14/04,6:00 AM,New York,NY,Northeast,NPCC,Public Appeal to Reduce Load,not attributed to weather ,,
2004,1/26/04,10:00 AM,South Carolina,SC,Southeast,SERC,Ice Storm,yes,winter weather,
2004,1/26/04,2:00 PM,Georgia,GA,Southeast,SERC,Ice Storm,yes,winter weather,
2004,1/26/04,4:00 PM,"North Carolina, South Carolina","NC, SC",Southeast,SERC,Ice Storm,yes,winter weather,
2004,1/28/04,1:09 PM,Maryland,MD,Northeast,MAAC,Ice Storm,yes,winter weather,
2004,2/5/04,8:00 PM,"Maryland, Pennsylvania, Virginia, West Virginia","MD, PA, VA, WV","Northeast, Southeast",MAAC,Ice Storm,yes,winter weather,
2004,2/14/04,8:00 PM,New York,NY,Northeast,NPCC,Public Appeal to Reduce Load,not attributed to weather ,,
2004,2/17/04,2:25 PM,California,CA,West,WECC,Lightning struck Intertie Breaker,yes,severe weather,
2004,2/25/04,12:01 AM,California,CA,West,WECC,Winter Storm,yes,winter weather,
2004,2/26/04,12:00 AM,Georgia,GA,Southeast,SERC,Severe Storm,yes,winter weather,
2004,3/4/04,5:00 AM,Texas,TX,South,ERCOT,High Winds - Severe Storm,yes,severe weather,
2004,3/7/04,6:30 PM,"North Carolina, South Carolina","NC, SC",Southeast,SERC,Severe Storm,yes,severe weather,
2004,3/8/04,6:22 PM,California,CA,West,WECC,In/adequate Resources,not attributed to weather ,,
2004,3/17/04,1:27 PM,Texas,TX,South,WECC,Faulty Switch,not attributed to weather ,,
2004,4/10/04,8:00 PM,Texas,TX,South,ERCOT,Thunderstorms,yes,severe weather,
2004,4/12/04,5:30 AM,Florida,FL,Southeast,FRCC,Storm with High Winds,yes,severe weather,
2004,4/27/04,12:35 PM,Washington,WA,Northwest,WECC,Strong Winds,yes,severe weather,
2004,5/3/04,2:30 PM,California,CA,West,WECC,Heat Storm,yes,heat,
2004,5/11/04,3:30 PM,Texas,TX,South,ERCOT,Strong Thunderstorms,yes,severe weather,
2004,5/21/04,2:00 AM,Ohio,OH,Ohio Valley,ECAR,Severe Thunderstorms,yes,severe weather,derecho
2004,5/21/04,2:00 AM,Ohio,OH,Ohio Valley,ECAR,Severe Thunderstorms,yes,severe weather,derecho
2004,5/21/04,5:30 AM,"Pennsylvania, Virginia, West Virginia","PA, VA, WV","Northeast, Ohio Valley, Southeast",MAAC,High Winds and Heavy Rains,yes,severe weather,derecho
2004,5/21/04,11:00 AM,"Indiana, Michigan","IN, MI","Ohio Valley, Upper Midwest",ECAR,Severe Thunderstorms,yes,severe weather,derecho
2004,5/21/04,1:00 PM,Michigan,MI,Upper Midwest,ECAR,Severe Thunderstorms,yes,severe weather,derecho
2004,5/21/04,4:00 PM,Michigan,MI,Upper Midwest,ECAR,Severe Thunderstorms,yes,severe weather,derecho
2004,6/1/04,5:00 PM,Texas,TX,South,ERCOT,Severe Storms with Strong Winds,yes,severe weather,
2004,6/2/04,1:46 AM,Louisiana,LA,South,ECAR,Severe Thunderstorms with Strong Winds,yes,severe weather,
2004,6/2/04,2:35 AM,Oklahoma,OK,South,ECAR,Severe Thunderstorms with Strong Winds,yes,severe weather,
2004,6/12/04,5:37 PM,Nebraska,NE,Northern Rockies and Plains,MAPP,Torn/ado,yes,severe weather,
2004,6/14/04,7:41 AM,Arizona,AZ,SouthWest,WECC ,Fault on Line,not attributed to weather ,,
2004,6/23/04,5:35 PM,Idaho,ID,Northwest,WECC,Load Shedding,not attributed to weather ,,
2004,6/23/04,7:00 PM,"Alabama, Georgia","AL, GA",Southeast,SERC,Thunderstorms,yes,severe weather,
2004,7/6/04,6:00 AM,Arizona,AZ,SouthWest,WECC,Fire/Substation Multiple Public Appeals,not attributed to weather ,,
2004,7/7/04,1:30 PM,Virginia,VA,Southeast,SERC,Severe Thunderstorms,yes,severe weather,
2004,7/13/04,4:30 PM,Indiana,IN,Ohio Valley,ECAR,Severe Thunderstorms,yes,severe weather,derecho
2004,7/13/04,1:34 PM,Florida,FL,Southeast,FRCC,Units Tripped,not attributed to weather ,,
2004,7/20/04,2:26 PM,California,CA,West,WECC,Wildfire/Shed Interruptible Load,yes,Wildfire,
2004,7/20/04,3:44 PM,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Wildfire,yes,Wildfire,
2004,7/21/04,5:30 PM,Illinois,IL,Ohio Valley,MAIN,Severe Thunderstorms,yes,severe weather,
2004,7/25/04,10:00 PM,"Alabama, Florida, Georgia, Mississippi","AL, FL, GA, MS",Southeast,SERC,Severe Storms,yes,severe weather,
2004,8/3/04,9:00 PM,Illinois,IL,Ohio Valley,MAIN,Severe Storm,yes,severe weather,
2004,8/4/04,12:46 PM,California,CA,West,WECC,Fault at Barre Substation,not attributed to weather ,,
2004,8/9/04,8:23 AM,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Two Large Units Tripped,not attributed to weather ,,
2004,8/13/04,8:00 AM,Florida,FL,Southeast,FRCC,Hurricane Charley,yes,tropical cyclones (including hurricanes),Hurricane Charley
2004,8/13/04,1:30 PM,Florida,FL,Southeast,FRCC,Hurricane Charley,yes,tropical cyclones (including hurricanes),Hurricane Charley
2004,8/13/04,3:00 PM,Florida,FL,Southeast,FRCC,Hurricane Charley,yes,tropical cyclones (including hurricanes),Hurricane Charley
2004,8/13/04,4:43 PM,Florida,FL,Southeast,FRCC,Hurricane Charley,yes,tropical cyclones (including hurricanes),Hurricane Charley
2004,8/13/04,10:04 PM,Florida,FL,Southeast,FRCC,Hurricane Charley,yes,tropical cyclones (including hurricanes),Hurricane Charley
2004,8/14/04,1:00 PM,"North Carolina, South Carolina","NC, SC",Southeast,SERC,Hurricane Charley,yes,tropical cyclones (including hurricanes),Hurricane Charley
2004,8/20/04,3:31 PM,Massachusetts,MA,Northeast,NPCC,Major Transmission Line Tripped due to Lightning Strike,yes,severe weather,
2004,8/29/04,9:52 AM,South Carolina,SC,Southeast,SERC,tropical Storm Gaston,yes,tropical cyclones (including hurricanes),Hurricane Gaston
2004,8/30/04,6:58 PM,"North Carolina, Virginia","NC, VA",Southeast,SERC,tropical Storm Gaston,yes,tropical cyclones (including hurricanes),Hurricane Gaston
2004,9/3/04,9:00 PM,Florida,FL,Southeast,FRCC,Hurricane Frances,yes,tropical cyclones (including hurricanes),Hurricane Frances
2004,9/4/04,8:00 AM,Florida,FL,Southeast,FRCC,Hurricane Frances,yes,tropical cyclones (including hurricanes),Hurricane Frances
2004,9/4/04,10:00 AM,Florida,FL,Southeast,FRCC,Hurricane Frances,yes,tropical cyclones (including hurricanes),Hurricane Frances
2004,9/5/04,1:00 AM,Florida,FL,Southeast,FRCC,Hurricane Frances,yes,tropical cyclones (including hurricanes),Hurricane Frances
2004,9/5/04,7:00 AM,Florida,FL,Southeast,FRCC,Hurricane Frances,yes,tropical cyclones (including hurricanes),Hurricane Frances
2004,9/6/04,1:00 PM,"Alabama, Florida, Georgia, Mississippi","AL, FL, GA, MS",Southeast,SERC,Hurricane Frances,yes,tropical cyclones (including hurricanes),Hurricane Frances
2004,9/7/04,10:00 AM,Georgia,GA,Southeast,SERC,Hurricane Frances,yes,tropical cyclones (including hurricanes),Hurricane Frances
2004,9/15/04,7:00 PM,"Alabama, Florida, Georgia, Mississippi","AL, FL, GA, MS",Southeast,SERC,Hurricane Ivan,yes,tropical cyclones (including hurricanes),Hurricane Ivan
2004,9/16/04,2:00 AM,Alabama,AL,Southeast,SERC,Hurricane Ivan,yes,tropical cyclones (including hurricanes),Hurricane Ivan
2004,9/16/04,9:00 PM,"North Carolina, South Carolina","NC, SC",Southeast,SERC,Hurricane Ivan,yes,tropical cyclones (including hurricanes),Hurricane Ivan
2004,9/17/04,4:30 AM,North Carolina,NC,Southeast,SERC,Hurricane Ivan,yes,tropical cyclones (including hurricanes),Hurricane Ivan
2004,9/25/04,5:00 PM,Florida,FL,Southeast,FRCC,Hurricane Jeanne,yes,tropical cyclones (including hurricanes),Hurricane Jeanne
2004,9/26/04,2:00 AM,Florida,FL,Southeast,FRCC,Hurricane Jeanne,yes,tropical cyclones (including hurricanes),Hurricane Jeanne
2004,9/26/04,3:00 AM,Florida,FL,Southeast,FRCC,Hurricane Jeanne,yes,tropical cyclones (including hurricanes),Hurricane Jeanne
2004,9/26/04,6:00 AM,Florida,FL,Southeast,FRCC,Hurricane Jeanne,yes,tropical cyclones (including hurricanes),Hurricane Jeanne
2004,9/27/04,8:00 AM,Georgia,GA,Southeast,SERC,Hurricane Jeanne,yes,tropical cyclones (including hurricanes),Hurricane Jeanne
2004,10/10/04,5:09 PM,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Breaker Failure,not attributed to weather ,,
2004,10/18/04,10:30 PM,California,CA,West,WECC,Severe Storm with High Wind Gusts,yes,severe weather,
2004,10/28/04,3:27 PM,California,CA,West,WECC,Major Transmission Distribution System Interruption,not attributed to weather ,,
2004,10/30/04,10:00 AM,Michigan,MI,Upper Midwest,ECAR,Severe Storm with High Wind Gusts,yes,severe weather,
2004,10/30/04,12:30 PM,Michigan,MI,Upper Midwest,ECAR,High Wind Gusts,yes,severe weather,
2004,11/23/04,10:00 PM,Texas,TX,South,ERCOT,Strong Thunderstorms,yes,severe weather,
2004,11/24/04,10:00 AM,Georgia,GA,Southeast,SERC,Strong Thunderstorms,yes,severe weather,
2004,12/1/04,7:30 AM,Pennsylvania,PA,Northeast,MAAC,Heavy Rain and Wind Storm,yes,severe weather,
2004,12/1/04,10:00 AM,Maryland,MD,Northeast,MAAC,High Winds,yes,severe weather,
2004,12/23/04,3:37 AM,Ohio,OH,Ohio Valley,ECAR,Major Freezing Rain and Ice Storm,yes,winter weather,
2004,12/27/04,7:50 AM,California,CA,West,WECC,Severe Weather/Line Relayed,yes,severe weather,
2005,1/4/05,6:00 PM,Kansas,KS,South,SPP,Winter Storm,yes,winter weather,
2005,1/5/05,4:00 PM,Ohio,OH,Ohio Valley,ECAR,Ice Storm,yes,winter weather,
2005,1/5/05,9:10 PM,"Indiana, Michigan","IN, MI","Ohio Valley, Upper Midwest",ECAR,Winter Ice Storm,yes,winter weather,
2005,1/7/05,1:00 PM,California,CA,West,WECC,Winter Storm,yes,winter weather,
2005,1/24/05,6:38 AM,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Voltage Reduction/Shed Load,not attributed to weather ,,
2005,1/29/05,10:00 AM,"Alabama, Georgia","AL, GA",Southeast,SERC,Ice Storm,yes,winter weather,
2005,1/29/05,4:00 PM,Georgia,GA,Southeast,SERC,Ice Storm,yes,winter weather,
2005,2/16/05,1:26 PM,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Load Shedding,not attributed to weather ,,
2005,2/18/05,8:16 AM,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Generator Loss/Voltage Reduction,not attributed to weather ,,
2005,3/8/05,11:00 AM,North Carolina,NC,Southeast,SERC,Wind Storms,yes,severe weather,
2005,4/1/05,12:00 AM,Ohio,OH,Ohio Valley,ECAR,Winter Storm,yes,winter weather,
2005,4/22/05,3:51 PM,California,CA,West,WECC,Lightning Strike,yes,severe weather,
2005,4/23/05,4:22 AM,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Voltage Reduction,not attributed to weather ,,
2005,4/23/05,6:00 AM,Ohio,OH,Ohio Valley,ECAR,Winter Storm,yes,winter weather,
2005,4/30/05,8:00 AM,"Alabama, Georgia","AL, GA",Southeast,SERC,Thunderstorms,yes,severe weather,
2005,5/8/05,3:00 PM,Texas,TX,South,ERCOT,Strong Thunderstorms,yes,severe weather,
2005,5/29/05,8:00 PM,Texas,TX,South,ERCOT,Strong Thunderstorms,yes,severe weather,
2005,6/5/05,2:00 PM,Michigan,MI,Upper Midwest,ECAR,Strong Thunderstorm,yes,severe weather,https://www.spc.noaa.gov/exper/archive/event.php?date=20050605
2005,6/5/05,2:00 PM,Michigan,MI,Upper Midwest,ECAR,Strong Thunderstorm/High Winds,yes,severe weather,https://www.spc.noaa.gov/exper/archive/event.php?date=20050605
2005,6/6/05,12:00 PM,New York,NY,Northeast,NPCC,Strong Thunderstorms,yes,severe weather,https://www.spc.noaa.gov/exper/archive/event.php?date=20050606
2005,6/6/05,4:43 PM,Pennsylvania,PA,Northeast,MAAC,Strong Thunderstorm,yes,severe weather,"https://www.spc.noaa.gov/exper/archive/event.php?date=20050606, https://slapointewx.com/wrgb/weather_historical_daily/2005/Jun6-2005_SVR_Outbreak.htm"
2005,6/8/05,4:00 AM,Minnesota,MN,Upper Midwest,MRO,Strong Thunderstorm,yes,severe weather,https://www.spc.noaa.gov/exper/archive/event.php?date=20050608
2005,6/20/05,11:16 AM,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Voltage Reduction,not attributed to weather ,,
2005,6/24/05,8:37 PM,Illinois,IL,Ohio Valley,MAIN,Transmission Equipment Failure,not attributed to weather ,,
2005,6/29/05,4:30 PM,Michigan,MI,Upper Midwest,ECAR,Strong Thunderstorm/High Winds,yes,severe weather,
2005,7/2/05,1:27 AM,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Load Shedding,not attributed to weather ,,
2005,7/5/05,9:00 PM,Louisiana,LA,South,SPP,tropical Storm Cindy,yes,tropical cyclones (including hurricanes),tropical Storm Cindy
2005,7/10/05,8:00 AM,"Alabama, Florida, Georgia, Mississippi","AL, FL, GA, MS",Southeast,SERC,Hurricane Dennis,yes,tropical cyclones (including hurricanes),Hurricane Dennis
2005,7/10/05,12:53 PM,"Alabama, Florida","AL, FL",Southeast,SERC,Hurricane Dennis,yes,tropical cyclones (including hurricanes),Hurricane Dennis
2005,7/23/05,1:02 AM,"DC, Maryland","DC, MD",Northeast,MAAC,Severe Thunderstorms,yes,severe weather,
2005,7/27/05,4:50 PM,Pennsylvania,PA,Northeast,MAAC,Severe Thunderstorms,yes,severe weather,
2005,7/27/05,5:50 PM,"DC, Maryland","DC, MD",Northeast,MAAC,Severe Thunderstorm,yes,severe weather,
2005,7/27/05,6:00 PM,Maryland,MD,Northeast,MAAC,Severe Thunderstorms,yes,severe weather,
2005,7/28/05,8:30 PM,"North Carolina, South Carolina","NC, SC",Southeast,SERC,Severe Thunderstorm,yes,severe weather,
2005,8/1/05,10:28 AM,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Voltage Reduction/Load Shed,not attributed to weather ,,
2005,8/19/05,7:37 PM,Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico,Voltage Reduction/Load Shed,not attributed to weather ,,
2005,8/20/05,2:15 PM,Arkansas,AR,South,ECAR,Severe Thunderstorms,yes,severe weather,
2005,8/25/05,3:51 PM,California,CA,West,WECC,CAISO initiated interruption of  interruptible and firm load due to declaration of Transmission Emergency in Southern California,not attributed to weather ,,
